sample_id,task_id,ground_truth,base_nll,single0_nll,single1_nll,pair_l2_nll,pair_direct_sum_nll,rank16_nll,base_prediction,single0_prediction,single1_prediction,pair_l2_prediction,pair_direct_sum_prediction,rank16_prediction,base_correct,single0_correct,single1_correct,pair_l2_correct,pair_direct_sum_correct,rank16_correct,best_single_selection,best_single_nll,best_single_correct,pair_best_selection,pair_best_nll,pair_best_correct,synergy,pair_minus_rank16_nll,pair_exclusive_nll,oracle_a_selection,oracle_a_nll,oracle_a_correct,oracle_b_selection,oracle_b_nll,oracle_b_correct
UCIT/ImageNet-R:1,UCIT/ImageNet-R,Centipede,3.5402557849884033,0.05148033797740936,3.5756359100341797,0.13403722643852234,0.02004058286547661,0.014807124622166157,Wall,Centipede,Wall,Centipede,Centipede,Centipede,False,True,False,True,True,True,single0,0.05148033797740936,True,pair_direct_sum,0.02004058286547661,True,0.031439755111932755,0.0052334582433104515,False,pair_direct_sum,0.02004058286547661,True,rank16,0.014807124622166157,True
UCIT/ImageNet-R:2,UCIT/ImageNet-R,Ant,2.0738134384155273,0.006294871214777231,2.070054292678833,0.005046457517892122,0.0015781109686940908,0.024425027891993523,Toy,Ant,Toy,Ant,Ant,Ant,False,True,False,True,True,True,single0,0.006294871214777231,True,pair_direct_sum,0.0015781109686940908,True,0.00471676024608314,-0.022846916923299432,True,pair_direct_sum,0.0015781109686940908,True,pair_direct_sum,0.0015781109686940908,True
UCIT/ImageNet-R:3,UCIT/ImageNet-R,Llama,2.515933036804199,0.010501709766685963,2.619259834289551,0.015207234770059586,0.002204325282946229,0.0029486645944416523,Statue,Llama,Statue,Llama,Llama,Llama,False,True,False,True,True,True,single0,0.010501709766685963,True,pair_direct_sum,0.002204325282946229,True,0.008297384483739734,-0.0007443393114954233,True,pair_direct_sum,0.002204325282946229,True,pair_direct_sum,0.002204325282946229,True
UCIT/ImageNet-R:4,UCIT/ImageNet-R,Burrito,0.5559614300727844,0.00040818285197019577,0.6725769639015198,0.0019632696639746428,0.00025088837719522417,0.0015865721506997943,Taco,Burrito,Taco,Burrito,Burrito,Burrito,False,True,False,True,True,True,single0,0.00040818285197019577,True,pair_direct_sum,0.00025088837719522417,True,0.0001572944747749716,-0.0013356837735045701,True,pair_direct_sum,0.00025088837719522417,True,pair_direct_sum,0.00025088837719522417,True
UCIT/ImageNet-R:5,UCIT/ImageNet-R,Jellyfish,0.12347626686096191,0.00012190326378913596,0.01752033829689026,6.380298873409629e-05,3.358617686899379e-05,3.293048212071881e-05,Jellyfish,Jellyfish,Jellyfish,Jellyfish,Jellyfish,Jellyfish,True,True,True,True,True,True,single0,0.00012190326378913596,True,pair_direct_sum,3.358617686899379e-05,True,8.831708692014217e-05,6.55694748274982e-07,False,pair_direct_sum,3.358617686899379e-05,True,rank16,3.293048212071881e-05,True
UCIT/ImageNet-R:6,UCIT/ImageNet-R,Stole,4.600104331970215,0.0020551143679767847,4.895797252655029,0.01958305388689041,0.0004034008888993412,0.0010600498644635081,Woman,Stole,Drawing,Stole,Stole,Stole,False,True,False,True,True,True,single0,0.0020551143679767847,True,pair_direct_sum,0.0004034008888993412,True,0.0016517134790774435,-0.0006566489755641669,True,pair_direct_sum,0.0004034008888993412,True,pair_direct_sum,0.0004034008888993412,True
UCIT/ImageNet-R:7,UCIT/ImageNet-R,Jeep,0.6688476204872131,0.025034943595528603,0.6452471017837524,0.02776280790567398,0.027017580345273018,0.022478366270661354,Toy car,Jeep,Truck,Jeep,Jeep,Jeep,False,True,False,True,True,True,single0,0.025034943595528603,True,pair_direct_sum,0.027017580345273018,True,-0.0019826367497444153,0.004539214074611664,False,single0,0.025034943595528603,True,rank16,0.022478366270661354,True
UCIT/ImageNet-R:8,UCIT/ImageNet-R,French bulldog,1.3777390718460083,0.031889308243989944,1.4214216470718384,0.04334516078233719,0.019056890159845352,0.0566447377204895,Dog,French bulldog,Dog,French bulldog,French bulldog,French bulldog,False,True,False,True,True,True,single0,0.031889308243989944,True,pair_direct_sum,0.019056890159845352,True,0.012832418084144592,-0.03758784756064415,True,pair_direct_sum,0.019056890159845352,True,pair_direct_sum,0.019056890159845352,True
UCIT/ImageNet-R:9,UCIT/ImageNet-R,Grasshopper,0.3603969216346741,0.011915015988051891,0.36041370034217834,0.011940822005271912,0.0061626071110367775,0.005263537634164095,Insect,Grasshopper,Caterpillar,Grasshopper,Grasshopper,Grasshopper,False,True,False,True,True,True,single0,0.011915015988051891,True,pair_direct_sum,0.0061626071110367775,True,0.005752408877015114,0.0008990694768726826,False,pair_direct_sum,0.0061626071110367775,True,rank16,0.005263537634164095,True
UCIT/ImageNet-R:10,UCIT/ImageNet-R,"""dragonfly",3.5802178382873535,0.001788428402505815,4.149325847625732,0.026013443246483803,0.0006048395298421383,0.0004448372055776417,Butterfly,"""dragonfly",Butterfly,"""dragonfly","""dragonfly","""dragonfly",False,True,False,True,True,True,single0,0.001788428402505815,True,pair_direct_sum,0.0006048395298421383,True,0.0011835888726636767,0.00016000232426449656,False,pair_direct_sum,0.0006048395298421383,True,rank16,0.0004448372055776417,True
UCIT/ImageNet-R:11,UCIT/ImageNet-R,Candle,0.5924191474914551,0.0012440379941836,0.5846878886222839,0.003993961960077286,0.0006168815889395773,0.00036708114203065634,Flowers,Candle,Flowers,Candle,Candle,Candle,False,True,False,True,True,True,single0,0.0012440379941836,True,pair_direct_sum,0.0006168815889395773,True,0.0006271564052440226,0.000249800446908921,False,pair_direct_sum,0.0006168815889395773,True,rank16,0.00036708114203065634,True
UCIT/ImageNet-R:12,UCIT/ImageNet-R,Backpack,0.004403477068990469,0.003218388184905052,0.0009587772656232119,0.0005622075987048447,0.0009894899558275938,0.0002386947744525969,Backpack,Backpack,Backpack,Backpack,Backpack,Backpack,True,True,True,True,True,True,single1,0.0009587772656232119,True,pair_l2,0.0005622075987048447,True,0.00039656966691836715,0.0003235128242522478,False,pair_l2,0.0005622075987048447,True,rank16,0.0002386947744525969,True
UCIT/ImageNet-R:13,UCIT/ImageNet-R,Indian cobra,4.12838077545166,0.0015211126301437616,4.696810245513916,0.0022935247980058193,0.0002772326988633722,0.001873891451396048,Tattoo,Indian cobra,Tattoo,Indian cobra,Indian cobra,Indian cobra,False,True,False,True,True,True,single0,0.0015211126301437616,True,pair_direct_sum,0.0002772326988633722,True,0.0012438799312803894,-0.0015966587525326759,True,pair_direct_sum,0.0002772326988633722,True,pair_direct_sum,0.0002772326988633722,True
